"","X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
"137508",137508,0,0.679730033,42,0,1546,NA,13,0,0,0,0
"82668",82668,1,0.990092245,47,4,0.339886704,3000,6,3,1,0,0
"20351",20351,0,0.884401956,56,1,2476,NA,7,0,1,0,0
"91295",91295,0,0.047204922,71,0,0.018151054,6500,6,0,0,0,1
"128345",128345,0,0.403193613,72,0,6,NA,1,0,0,0,0
"114939",114939,0,0.000216447,63,0,0.421716395,3250,12,0,1,0,0
"100160",100160,0,0.579013986,33,0,2493,0,15,0,2,0,2
"9207",9207,0,0.365732622,57,0,0.110432174,9000,6,0,0,0,2
"90187",90187,0,0.026286561,80,0,0.003180373,2200,4,0,0,0,0
"9932",9932,0,0.247020351,28,0,1.123858447,1751,5,0,1,0,0
"108287",108287,0,0.088645654,45,0,77,NA,3,0,0,0,0
"143029",143029,0,0.780384151,32,0,0.962403244,2712,5,0,1,0,0
"129023",129023,0,0.018955698,77,0,0.001999667,6000,4,0,0,0,0
"76243",76243,0,0.292625846,42,0,0.26958969,6750,10,0,2,0,0
"33725",33725,0,0.364317841,21,0,0.007874016,2666,2,0,0,0,0
"40902",40902,0,0.087086574,31,0,0.308717379,1800,4,0,0,0,0
"126106",126106,0,0.062129191,56,0,0.003575685,7550,1,0,0,0,0
"75766",75766,0,0.075822788,50,0,0.182162729,12400,3,0,1,0,0
"136660",136660,0,0.108033601,48,5,0.419450125,4400,23,0,1,2,0
"20192",20192,0,0.020084252,73,0,0.006746627,2667,3,0,0,0,0
"15362",15362,0,0.465702819,74,0,0.121866295,4307,11,0,0,0,0
"74820",74820,1,0.9999999,39,0,0,3431,0,2,0,1,1
"50176",50176,0,0.762879234,46,0,0.617266526,4250,10,0,1,0,0
"37701",37701,0,0.001692359,36,0,0.657159659,3400,13,0,1,0,0
"101630",101630,0,1.017964072,23,0,0.006815084,2200,1,0,0,0,0
"42638",42638,0,0.874843763,39,1,0.551074821,6000,13,0,1,0,2
"145687",145687,0,0.352963921,30,0,0.539591978,5783,7,0,2,0,0
"42060",42060,0,0.582736211,39,1,0.517233857,4583,12,0,1,1,1
"37257",37257,0,0.451967027,45,0,0.18006993,4575,6,0,0,0,1
"75550",75550,0,0.421361318,58,0,4957,0,16,0,3,1,0
"61092",61092,0,0.008690143,56,0,0.328863606,7382,14,0,2,0,0
"34149",34149,1,0.9999999,39,1,0.445456565,4500,7,4,0,0,1
"110422",110422,0,0.76886865,53,0,0.407941047,9091,11,0,1,0,0
"57270",57270,0,0.114819027,43,0,0.504373907,4000,7,0,2,0,3
"12738",12738,0,0.314666939,51,0,0.479839493,15450,19,0,2,0,2
"38487",38487,0,0.094530182,53,1,0.011086475,7666,6,0,0,0,1
"18257",18257,0,0.024624009,67,0,0.639089969,2900,18,0,1,0,0
"101345",101345,0,0.062422351,53,0,0.395305028,6900,5,0,1,0,1
"74150",74150,0,0.276173569,41,0,0.423900259,4250,9,0,1,0,2
"125099",125099,1,1.02866189,76,2,1867,NA,6,1,3,0,0
"19680",19680,0,0.23693394,67,0,0.5712024,12000,7,0,3,0,1
"86278",86278,0,0.10422367,38,0,0.210050819,7083,5,0,2,0,0
"26629",26629,0,0.159948573,72,0,0.044331716,4533,2,0,0,0,1
"55150",55150,0,0.051826424,33,0,0.259118451,8416,12,0,1,0,0
"16460",16460,0,0.564193102,66,0,0.22798597,5416,9,0,0,0,0
"101944",101944,0,0.129830992,64,0,0.170110652,7500,14,0,2,0,1
"4041",4041,0,0.284543091,44,0,0.38861629,4075,6,0,1,0,0
"44533",44533,0,0.09054027,56,0,2401,NA,9,0,1,0,0
"32779",32779,1,0.925381459,48,2,0.410362365,6291,11,3,1,2,0
"76666",76666,0,0.067881347,47,3,0.271821529,4616,13,0,1,1,1
"76178",76178,0,0,46,0,0.27992391,13667,10,0,2,0,4
"88238",88238,0,0.049805674,51,0,0.299895902,10566,10,0,2,0,1
"29754",29754,0,0.9999999,47,0,0.465267783,13200,7,0,3,0,1
"74181",74181,0,0.107121652,54,0,3.16957606,400,7,0,1,0,0
"9238",9238,0,0.044997,53,0,0.180563887,5000,2,0,1,0,0
"59344",59344,0,0.107037836,49,0,0.224776003,10267,5,0,2,0,1
"7060",7060,0,0.507664114,69,0,0.735552552,5917,18,0,4,0,0
"68987",68987,0,0.589725004,58,0,0.145396328,15302,5,0,1,0,2
"54153",54153,0,0.07407043,60,0,0.359821429,3359,10,0,1,0,0
"113048",113048,0,0.212616003,48,0,0.327808306,11100,8,0,1,0,0
"11575",11575,0,0.059836435,71,0,0.73742086,3000,24,0,2,1,0
"136577",136577,0,0.215007808,42,0,3648,NA,8,0,2,0,0
"50168",50168,0,0.007873125,74,0,0.001999556,4500,6,0,0,0,0
"42534",42534,0,0.447252053,35,1,0.378430244,5210,9,0,1,0,1
"634",634,0,0.046740048,57,0,0.404799866,11916,13,0,3,0,0
"2815",2815,0,0.605473204,48,0,0.550224888,2000,7,0,0,0,2
"19920",19920,1,0.040223614,57,0,2945,0,10,0,1,0,0
"93117",93117,0,0.008672985,68,0,1350,NA,8,0,1,0,NA
"131346",131346,0,0.103243384,39,0,0.377693846,4500,10,0,1,0,0
"148926",148926,0,0.9999999,80,0,0,NA,2,0,0,0,NA
"91000",91000,0,0.9999999,26,0,0.141021064,2800,2,0,0,0,0
"41324",41324,0,0.005502587,50,0,0.407504363,4583,17,0,1,0,2
"28822",28822,0,0.045198356,46,1,550,NA,3,0,1,0,0
"102156",102156,0,0.025427213,70,0,0.057875544,8500,5,0,0,0,0
"42496",42496,0,0.9999999,47,0,2061,NA,6,0,2,0,0
"20004",20004,0,0,35,0,0.326149745,4500,8,0,1,0,0
"50298",50298,0,0.386665333,52,0,0.308152022,10708,11,0,1,0,1
"59346",59346,0,0.014783615,65,0,0.009308098,3222,9,0,0,0,0
"34311",34311,0,0.43655361,56,0,1424,NA,11,0,1,0,1
"131761",131761,0,0.023165894,87,0,20,NA,1,0,0,0,0
"26236",26236,0,0.005466846,82,0,0.090383822,2422,4,0,0,0,0
"54102",54102,0,0.858755555,71,0,0.88641645,14200,20,0,4,0,0
"87145",87145,0,0.217782218,52,0,0.296132922,6800,6,0,1,0,1
"128346",128346,0,0,46,0,1.618552579,2500,16,0,4,0,0
"108155",108155,0,0.023052918,68,0,0.275059996,5416,7,0,1,0,0
"50435",50435,0,0.675555253,48,0,611,NA,10,0,0,0,NA
"19182",19182,0,0.141134792,64,0,0.2035988,3000,4,0,0,0,0
"64298",64298,1,0.66787865,30,5,0.289892632,2700,6,1,0,0,0
"77415",77415,0,1.1328619,63,1,0.649960223,15083,19,0,2,0,1
"81464",81464,0,0.023970037,60,0,0.075539568,833,7,0,0,0,0
"104300",104300,0,0.053177371,60,0,0.049603175,1007,7,0,0,0,0
"135205",135205,1,0.9999999,71,2,2218,NA,7,3,1,0,0
"141239",141239,0,0.005967017,48,0,3523,NA,9,0,2,0,0
"101120",101120,0,1.067572971,27,0,497,NA,5,0,0,1,0
"46435",46435,0,0.410530526,52,0,3630,NA,18,0,2,0,0
"28307",28307,0,0.103294835,77,0,324,NA,11,0,1,0,0
"87438",87438,0,0.237664111,65,0,0.132657823,15000,17,0,1,0,0
"1706",1706,0,0.043255885,33,1,0.009998276,5800,7,0,0,0,0
"147835",147835,0,0.502420443,63,1,0.268207283,7139,4,0,2,1,1
"105324",105324,0,0.910179641,29,1,0.004331889,3000,1,0,0,0,0
"1710",1710,0,0.00789921,72,0,508,NA,5,0,1,0,0
"17840",17840,0,0.9999999,43,1,0.238702818,1880,1,0,0,0,1
"97153",97153,0,0.109503306,59,0,0.258974103,10000,4,0,2,0,0
"63033",63033,0,0.10521156,56,1,0.362881856,20000,11,0,4,0,0
"126023",126023,1,0.509933775,30,0,0.087353325,2300,1,0,0,0,0
"106214",106214,0,0.9999999,66,0,0.510934778,5166,5,0,2,0,0
"55140",55140,0,0.057793195,59,0,0.209055338,16100,5,0,2,0,0
"66021",66021,0,0.056788159,66,0,0.108834063,5025,5,0,0,0,0
"24031",24031,0,0.062692633,56,0,0.6133829,7800,7,0,2,0,1
"111959",111959,0,0.045095529,73,0,2368,NA,11,1,1,0,0
"10446",10446,0,0.005285463,51,0,0.219657483,9400,8,0,1,0,0
"17801",17801,0,0.9999999,61,0,0,2178,2,0,0,0,0
"34888",34888,0,0.928505958,36,1,0.670506359,4166,6,0,1,0,0
"92780",92780,0,0.000999969,83,0,0,7250,4,0,0,0,0
"64422",64422,0,0.655534378,74,1,0.657516815,5500,10,0,2,0,0
"6015",6015,0,0.008796498,50,1,0.443690939,8994,21,0,2,0,0
"130265",130265,0,0,52,1,1.002181705,6416,13,0,6,0,3
"84978",84978,0,0.121606233,52,0,0.296719081,13227,18,0,3,0,3
"64699",64699,0,0,85,0,0,NA,5,0,0,0,NA
"71188",71188,0,0,42,0,0,8068,2,0,0,0,2
"45230",45230,1,0.461634435,39,1,0.216198126,5975,10,0,0,0,1
"101476",101476,0,0.006312812,33,0,0.001249479,2400,3,0,0,0,0
"30484",30484,0,0.094740444,47,0,0.368421053,6250,8,0,1,0,3
"31126",31126,0,0.306313874,47,0,0.28666982,14800,6,0,2,0,4
"29237",29237,0,0.040176636,50,0,0.226557639,11250,11,0,1,0,0
"121510",121510,0,0.198416616,34,0,0.173235916,5200,7,0,0,0,0
"136893",136893,0,0.041488692,63,0,0.020584795,12824,8,0,1,0,0
"96604",96604,0,0.02478178,69,0,389,NA,10,0,0,0,0
"133784",133784,0,0.433081515,65,0,0.719477024,5200,9,0,3,0,0
"72073",72073,0,0.507967673,46,0,0.270540456,3200,7,0,0,0,1
"108707",108707,0,0.559593715,45,0,136,NA,2,0,0,0,0
"137100",137100,0,0.172064804,64,0,0.338412094,8400,11,0,1,0,1
"139284",139284,0,0.221220308,38,0,0.028932991,35875,5,0,0,0,0
"110801",110801,0,0.525803226,58,1,0.630099417,5833,12,0,2,0,0
"495",495,0,0,75,0,0.205971968,1640,4,0,0,0,1
"98750",98750,0,0.046076725,61,0,0.594175728,8000,9,0,2,0,2
"61224",61224,0,0.020561215,58,0,9,NA,3,0,0,0,0
"7537",7537,1,0.887953709,45,1,0.103920078,9208,8,1,0,0,2
"21488",21488,0,0.191268028,76,0,0.453091151,6000,11,0,1,0,0
"80192",80192,0,0.817854572,33,0,0.762015055,3453,7,0,1,0,1
"85716",85716,0,0.93759311,54,0,0.651257926,9777,18,0,2,0,2
"52419",52419,0,0.117313656,61,0,0.325422365,2485,6,0,0,0,0
"41159",41159,0,0.65107816,50,0,0.183844011,14000,10,0,1,0,1
"110914",110914,0,0.170092538,44,0,0.212889211,5523,17,0,0,0,1
"710",710,0,0.001019592,83,0,0.00019996,5000,10,0,0,0,0
"117477",117477,0,0.022879542,59,0,0.165229346,8000,8,0,2,0,1
"110682",110682,0,0.091171133,75,0,0.149624231,4390,4,0,1,0,0
"106564",106564,1,0.688101697,40,1,0.340296053,12159,16,0,2,1,2
"108814",108814,0,0.912254647,59,0,0.750214298,5832,12,0,2,0,0
"143238",143238,0,0.253457914,43,0,0.240220782,12500,6,0,1,0,1
"23094",23094,0,0.095620806,65,0,0.114136287,6500,6,0,1,0,0
"8723",8723,0,0.021291905,55,1,0.441807759,7500,19,0,2,0,0
"71127",71127,0,0.025499203,36,0,0.856931608,2704,13,0,2,0,2
"19892",19892,0,0.025356232,49,0,0.153206651,5893,11,0,1,0,3
"113851",113851,1,0.801846422,66,6,0.449174368,6600,12,0,3,0,0
"45052",45052,0,0.183640818,71,0,1907,NA,4,0,2,0,0
"89770",89770,0,0,46,0,0.349118653,3800,8,0,1,0,0
"64780",64780,0,0.497363796,28,0,679,NA,3,0,0,0,NA
"24731",24731,1,1.078921079,35,0,0.338314867,3880,9,0,0,0,2
"4669",4669,0,1.002570694,25,0,0.235380117,2051,5,0,0,1,0
"112723",112723,0,0.644725879,56,0,0.718294259,5416,5,2,1,1,1
"142549",142549,0,0.13174777,45,0,0.333546633,6250,12,0,2,0,0
"71907",71907,0,0.373869118,63,1,0.416402987,7900,13,0,0,0,0
"48639",48639,0,0.855416086,48,0,0.362727597,2800,4,0,0,0,2
"72132",72132,0,0.301500063,38,0,0.471507621,10300,13,0,4,0,2
"112232",112232,0,0.154422789,34,0,0.563065207,4201,5,0,1,0,1
"106079",106079,0,0.004799955,72,0,14,NA,6,0,0,0,0
"51588",51588,0,0.074127212,56,0,0.231268364,8167,10,0,2,0,2
"49528",49528,0,0.9999999,33,0,0.624678663,1166,3,0,0,0,1
"110486",110486,0,0.006847329,81,0,0.05635339,5500,14,0,0,0,0
"127608",127608,0,0.115814031,26,0,0.413452915,1114,3,0,0,0,0
"33614",33614,0,1.042478761,54,0,0.488470191,3555,8,0,0,0,0
"43778",43778,0,0.058783615,55,0,0.076338247,6444,5,0,1,0,0
"139126",139126,0,0.652014204,51,0,0.538205189,4200,12,0,2,0,4
"115667",115667,0,0.273448411,43,0,0.243751838,3400,7,0,0,0,2
"87632",87632,0,0.320247463,52,0,0.667698167,4200,12,0,3,0,1
"114470",114470,1,0.875555794,56,0,0.675148362,12300,19,0,6,0,0
"32652",32652,0,0.016194101,54,1,1.155344816,15500,14,0,4,0,4
"29464",29464,0,0,51,0,6430,NA,6,0,2,0,0
"121358",121358,0,0.80166576,47,0,0.586494234,15000,20,0,2,0,1
"119906",119906,0,0.199190555,41,0,1677,NA,15,0,0,0,0
"52359",52359,0,0.048423922,41,0,0.01167153,7196,5,0,0,0,1
"50264",50264,0,0.007867041,71,0,0.002474023,8083,9,0,0,0,0
"64244",64244,0,0.111633925,48,6,0.355650777,5600,7,0,3,0,2
"20554",20554,0,0.025331363,51,0,1180,NA,4,0,1,0,NA
"95225",95225,0,0,57,0,3296,NA,13,1,1,0,0
"12249",12249,0,0.01713244,67,0,0.004665889,6000,8,0,0,0,1
"115011",115011,0,0.012487196,78,0,40,NA,2,0,0,0,0
"10735",10735,0,0.197274682,49,0,1.356699525,5477,5,0,2,0,0
"119271",119271,0,0,78,0,13,NA,5,0,0,0,0
"94594",94594,0,0.255144223,58,0,0.207094418,3833,6,0,0,0,1
"87311",87311,0,0.00062263,61,0,0,8140,12,0,0,0,0
"122791",122791,0,0.012708605,75,1,0.025032557,6910,5,0,0,0,0
"97203",97203,0,0.022783867,62,0,0.425762373,6000,10,0,2,0,0
"20261",20261,0,0.9999999,34,1,0.740110165,1996,6,0,1,0,1
"90993",90993,0,0.004025215,64,0,4,NA,5,0,0,0,1
"91732",91732,1,0.640925112,72,0,0.687670657,4760,8,0,1,0,0
"17754",17754,0,0.387010446,55,0,0.723017496,4400,11,0,2,0,0
"97363",97363,0,0,44,0,0.290829445,10500,9,0,2,1,0
"68425",68425,0,0.498573712,27,0,0.339909358,3750,12,0,0,0,0
"138577",138577,0,0.117907785,55,0,0.644310171,4964,13,0,1,0,1
"4228",4228,0,0.004845781,39,0,0.836401894,1900,5,0,2,0,2
"115108",115108,1,0.35832084,63,0,0.416804865,3617,6,0,1,0,0
"136047",136047,0,0.611344568,46,0,0.612359973,13300,10,0,2,0,0
"65754",65754,0,0.038615904,58,0,0.263867403,4524,9,0,1,0,0
"143808",143808,0,0.474714767,42,0,0.930523918,8779,15,0,4,0,3
"115439",115439,0,0.960135991,30,0,0.225539209,7000,7,0,0,0,0
"113128",113128,0,0.104010773,60,0,0.30135682,4200,6,0,2,0,0
"109447",109447,0,0.9999999,25,0,0.211798443,2440,2,0,0,0,0
"37990",37990,0,0.002797453,39,0,0.230863237,9000,3,0,2,0,2
"87016",87016,0,0.9999999,24,0,0,0,0,0,0,0,0
"41365",41365,0,0.057549891,61,0,0.26910343,7550,9,0,1,0,0
"59409",59409,0,0.271741258,55,2,0.952015995,3000,19,0,3,0,1
"42163",42163,0,0.055676222,35,0,0.08312536,5208,13,0,0,0,2
"89843",89843,0,0.097996302,45,0,0.568950309,3400,9,0,1,0,2
"9963",9963,0,0.9999999,61,0,0.707363968,5200,5,0,2,0,0
"6432",6432,1,0.9999999,61,0,2134,NA,2,3,2,0,1
"99750",99750,0,0.407708739,58,0,0.585458492,5528,23,0,2,0,1
"84587",84587,0,0.210094423,63,0,0.289451758,6000,10,0,0,0,0
"125451",125451,0,0.102286041,54,0,0.120155194,25000,7,0,2,0,0
"112214",112214,0,0.05187958,84,0,0.098816864,6000,10,0,1,0,0
"34032",34032,0,0.062815427,53,0,79,NA,2,0,0,0,0
"9728",9728,0,0.297063072,58,0,0.222759822,5166,9,0,1,0,2
"84035",84035,0,0.073004774,48,0,0.11043313,9996,8,0,1,0,0
"40225",40225,0,0.477284838,45,1,0.571714254,9000,10,1,2,0,2
"52511",52511,0,0.009872039,69,0,0.017592963,2500,17,0,0,0,0
"149720",149720,0,0.005379143,79,0,2114,NA,19,0,2,0,0
"129807",129807,0,0.088036479,88,0,0.010136692,6510,2,0,0,0,0
"69960",69960,0,0.017682522,84,1,0.033044472,10500,12,0,0,0,0
"54239",54239,0,0.845828568,35,0,0.869043652,3000,7,0,1,0,2
"37659",37659,0,0.144553193,81,0,0.162640354,8816,18,0,1,0,0
"137631",137631,0,0.019161476,51,0,0.587655074,9833,6,0,3,0,0
"125821",125821,0,0.112978196,72,0,0.219178082,10000,19,0,1,0,2
"120466",120466,0,0.365730742,60,0,0.669504644,2583,11,0,2,0,0
"109163",109163,0,0.049445269,35,0,0.268974621,16666,18,0,1,0,0
"43407",43407,0,0.900097635,47,0,0.301479751,12839,17,0,2,0,1
"134090",134090,0,0.101457971,48,0,0.179646819,8833,7,0,2,0,3
"142967",142967,0,0.558521287,50,0,0.211545973,12800,21,0,1,0,1
"149934",149934,0,0,56,0,0.49410118,5000,8,0,1,0,0
"54008",54008,0,0.044731842,67,0,0.401368524,5114,5,0,2,0,0
"79832",79832,0,0.031424214,75,0,37,NA,6,0,0,0,0
"72581",72581,1,0.9999999,39,0,0.510531136,4367,2,6,1,0,1
"16484",16484,0,0.063774943,39,0,0.68253666,5250,8,0,2,0,0
"45954",45954,0,0.274827816,36,2,0.803154854,4500,12,0,2,0,0
"128514",128514,0,0,68,0,0.319905213,10971,12,0,2,0,1
"3125",3125,0,0.207876108,48,0,0.106485464,5812,5,0,0,0,1
"64800",64800,1,0.435019209,48,0,0.575395915,4356,23,0,0,0,2
"137887",137887,0,0.022089823,90,0,0.004748813,4000,3,0,0,0,0
"1818",1818,0,0.342435003,55,0,3840,NA,5,0,2,0,0
"106278",106278,0,0.055803855,51,0,0.294856411,12500,14,0,2,0,0
"120958",120958,0,0.513628304,71,2,392,0,8,0,0,0,0
"94312",94312,0,0.778611038,61,1,8854,NA,29,0,5,0,0
"111730",111730,0,0.797768724,59,1,1650,NA,16,0,0,1,0
"39814",39814,1,0,32,0,0.088182792,2800,4,0,0,0,0
"4934",4934,0,0.120487853,71,0,0.305092665,6420,3,0,1,0,1
"9771",9771,1,0.061197152,31,1,0.085319113,6000,16,2,0,0,0
"97423",97423,0,0.01337392,54,0,0.129181084,2600,12,0,0,0,1
"91687",91687,0,0.008308264,51,0,0.459829247,9135,9,0,2,0,0
"120143",120143,0,0.593317765,62,2,0.626392459,3500,22,0,1,0,0
"138924",138924,0,0.270017056,65,0,0.403096903,2001,4,0,0,0,0
"36758",36758,0,0.526899215,65,0,5919,NA,9,0,2,0,NA
"122623",122623,0,0.837028365,36,0,0.317280453,6000,5,0,0,0,2
"88623",88623,0,0.109423767,50,0,0.283510456,11667,12,0,2,0,3
"118478",118478,0,1.045954524,39,2,360.5,1,2,0,0,0,0
"104434",104434,0,0.072329519,67,0,0.219668706,6700,13,0,2,0,0
"2911",2911,0,0.938586327,44,1,1095,NA,8,9,0,4,0
"52181",52181,0,0.169218067,35,0,0.249360068,4687,10,0,1,0,0
"124876",124876,0,0,25,0,0.118860142,2666,2,0,0,0,0
"40701",40701,0,0.052173696,48,1,0.479116991,13000,8,0,1,0,2
"47508",47508,0,0.081316747,45,0,0.536811106,7130,8,0,2,0,0
"47529",47529,0,0.002814763,77,0,0.009488212,3477,8,0,0,0,0
"93312",93312,0,0.021640714,37,0,6576,NA,10,0,1,0,0
"130777",130777,0,0.200634199,47,0,0.514868199,7700,17,0,2,0,1
"38085",38085,0,0.081048366,80,0,50,NA,6,0,0,0,0
"30268",30268,0,0.513542992,32,0,0.047401485,1750,3,0,0,0,0
"109599",109599,0,0.037981009,63,0,742,NA,7,0,0,0,0
"87510",87510,0,0,52,0,0.159113629,6001,7,0,1,0,3
"133713",133713,0,0.569184043,52,1,3233,NA,10,0,1,1,4
"94721",94721,0,0.095416277,46,0,0.229738354,4700,5,0,1,0,0
"58022",58022,0,0.097508815,31,0,68,NA,7,0,0,0,0
"110668",110668,0,0.9999999,66,0,941,NA,7,0,1,0,0
"129903",129903,0,0.094908758,71,0,0.013883046,2376,4,0,0,0,2
"70074",70074,0,0.617015219,55,0,0.349137572,12000,15,0,1,0,0
"65218",65218,0,0.36970421,53,2,1.364978195,2980,13,1,4,0,0
"11144",11144,0,0.0619283,71,0,0.00839904,5833,2,0,0,0,0
"111444",111444,1,1.241953385,39,2,742,NA,5,1,0,4,0
"134164",134164,0,0.314648914,35,0,0.479147481,7600,12,0,1,0,0
"4984",4984,0,0.174357455,32,0,0.27086805,6600,5,0,2,0,2
"98443",98443,0,0.242359402,49,2,0.46412667,8083,16,0,2,0,2
"131545",131545,1,0.9999999,43,0,509,NA,4,0,0,0,4
"101993",101993,0,0.015198465,56,0,0.459169187,16200,18,0,3,0,3
"46786",46786,0,0.639882535,34,0,2413,NA,6,0,2,0,NA
"11028",11028,0,0.014592536,56,0,0.143816989,6250,9,0,1,0,1
"82896",82896,0,0.033720349,58,0,0.139297848,2648,6,0,0,0,0
"125166",125166,0,0.131725562,80,0,0.214055448,1550,5,0,0,0,0
"77085",77085,0,0.321976963,55,0,0.432445759,6083,15,0,1,0,0
"71696",71696,0,0.006634251,75,0,0.08208742,10500,21,0,1,0,0
"41978",41978,0,0.074514939,38,0,2633,NA,4,0,1,0,0
"141701",141701,0,0.883186136,48,0,0.864567332,3905,6,0,2,0,0
"60736",60736,0,0.669116852,45,1,185,NA,2,0,0,0,0
"9488",9488,0,0,57,0,0,2020,2,0,0,0,0
"43102",43102,0,0.32896076,47,0,0.379675371,2833,10,0,0,1,0
"107460",107460,0,0.007149423,67,0,0.513361207,5500,13,0,1,0,0
"149700",149700,1,0.098395612,67,1,0.398589526,7656,10,0,2,0,0
"127711",127711,0,0.705444228,46,0,0.61484693,11301,13,0,2,0,3
"61048",61048,0,0.355421591,73,0,0.569049271,4322,14,0,2,0,0
"143684",143684,1,0.795811518,32,0,1.001249479,2400,5,1,1,0,0
"129922",129922,0,0.809819096,43,0,1448,NA,15,0,0,0,0
"14566",14566,0,0.008392013,49,0,0.001318764,5307,3,0,0,0,0
"13788",13788,0,0.003957233,74,0,0.166399396,10600,13,0,2,0,0
"117102",117102,0,0.983934404,33,0,0.015406009,64000,2,0,0,0,0
"149248",149248,0,0.673541405,41,0,0.270601654,10520,9,0,1,0,2
"79353",79353,0,0.002426677,47,0,0.12256691,3287,5,0,0,0,2
"117618",117618,0,0.034962063,46,0,1676,NA,8,0,1,0,0
"116499",116499,0,0.059905584,62,0,0.362216395,8770,14,0,3,0,2
"96013",96013,0,0.178019383,34,0,2704,NA,14,0,1,0,3
"18981",18981,0,0,41,0,2269,NA,6,0,2,0,3
"27393",27393,0,0.067076063,57,0,0.377663984,20504,11,0,5,0,1
"88412",88412,0,0.020643157,53,0,0.899408284,4900,11,0,3,0,0
"86826",86826,0,0.0189995,65,0,0.262410103,5700,5,0,1,0,0
"121139",121139,0,0.005699858,64,0,302,NA,2,0,0,0,0
"7573",7573,0,0.960067998,57,0,0.539494358,7000,12,0,1,0,0
"131150",131150,0,0,62,0,0,NA,5,0,0,0,0
"72284",72284,0,0.9999999,68,0,1872,NA,2,0,1,0,0
"30017",30017,0,0,23,0,0,820,1,0,0,0,0
"82703",82703,0,0.501016178,48,1,0.05963467,5583,4,0,1,0,1
"58659",58659,0,0.044265101,59,0,0.066109869,8500,6,0,0,0,1
"138666",138666,0,0.112231477,42,0,0.476280835,6850,10,0,2,1,1
"12612",12612,0,0.9999999,58,0,0.235611933,4256,2,0,2,0,1
"62340",62340,0,0.036336749,49,0,0.291374236,4416,6,0,1,0,0
"6027",6027,0,0.957251781,40,1,0.578067597,5443,12,0,1,0,2
"35201",35201,0,0.141148112,63,0,0.010471204,4583,6,0,0,0,0
"90524",90524,0,0.227585621,38,0,0.153039832,6200,7,0,0,0,0
"42120",42120,0,0.123630225,42,0,0.494712555,5200,11,0,2,0,3
"10831",10831,1,0,56,0,2132,NA,17,0,1,0,0
"30392",30392,0,0.073528431,44,0,0.013189448,2501,5,0,0,0,2
"46140",46140,0,0,49,0,0.495615573,2850,6,0,1,0,2
"39507",39507,1,0.863464992,51,0,1600,NA,7,0,0,0,1
"55050",55050,0,0.224646951,36,0,0.757498637,5500,18,0,2,0,1
"35631",35631,0,0.011418339,80,0,0.003999619,10500,11,0,0,0,0
"60539",60539,0,0.027947694,81,0,25,NA,12,0,0,0,0
"79981",79981,0,0.025181391,32,0,0.256439831,2600,7,0,1,0,1
"92638",92638,0,0.094142017,64,0,0.089974293,3500,6,0,0,0,0
"64971",64971,0,0.006671051,56,0,0.295139973,9608,16,0,2,0,1
"74359",74359,0,0.351105617,41,0,0.357105716,25000,8,0,1,0,2
"55465",55465,0,0.06286527,74,0,84,NA,6,0,0,0,0
"69828",69828,0,0.143760573,53,0,0.445668659,22417,13,0,3,0,0
"93292",93292,0,1.132890365,48,0,0.24772927,6825,3,2,0,0,0
"71775",71775,0,0.299339835,38,0,853,0,9,0,1,0,2
"62739",62739,0,0.771324864,42,0,44,NA,2,0,0,0,NA
"142773",142773,0,0.096762119,30,0,0.121969508,4000,7,0,0,0,4
"101407",101407,0,0.9999999,41,0,2963,NA,5,0,1,0,0
"117440",117440,0,0.612728579,57,1,3.742052679,1100,8,0,2,0,1
"56179",56179,0,0,72,0,0.087824351,500,5,0,0,0,0
"9778",9778,0,0.9999999,51,0,0.013747228,2254,0,1,0,0,0
"134687",134687,0,0.637664871,34,0,0.576883232,6756,9,0,2,0,0
"85833",85833,0,0.639345355,55,0,0.374362564,10000,6,0,2,0,1
"144956",144956,0,0,56,0,0.105221393,6300,7,1,0,0,1
"94294",94294,0,0.912175649,40,0,0.179564087,5000,5,0,0,0,1
"122654",122654,0,0.829560586,39,0,0.125979003,6000,5,0,0,0,4
"4515",4515,0,0.084575005,64,0,4993,NA,16,0,4,0,0
"73668",73668,0,0.9999999,54,0,529,NA,4,0,1,0,0
"72507",72507,0,0,51,0,3,NA,6,0,0,0,NA
"139499",139499,1,0.986679353,30,0,0.148975171,6000,8,3,0,0,0
"95350",95350,1,1.115512773,25,2,0.426594927,1300,5,3,0,1,0
"112530",112530,0,0.002028356,63,0,1.167916042,2000,12,0,1,0,0
"9249",9249,0,0.9999999,43,0,0.004090537,3666,2,0,0,0,0
"55423",55423,0,0.011581565,61,0,0.457664434,10900,15,0,2,0,0
"46381",46381,0,0.038468844,55,3,0.261249107,12600,16,0,3,0,2
"36859",36859,0,0.060194459,68,0,2165,NA,5,0,1,0,0
"110798",110798,0,0.002879885,30,0,0.234848485,18083,12,0,5,0,0
"28946",28946,0,0.22446259,54,0,0.448637841,4000,4,0,1,0,0
"72964",72964,0,0,62,0,0.097215813,6500,11,0,0,0,0
"92102",92102,0,0.010049498,68,0,0.931714024,2181,9,0,1,0,0
"126266",126266,0,0.717742406,40,0,0.387240121,6300,7,0,1,0,6
